,salary,pcsalary,sales,roe,pcroe,ros,indus,finance,consprod,utility,lsalary,lsales
1,1095,20,27595,14.1,106.4,191,1,0,0,0,6.998509,10.22539
2,1001,32,9958,10.9,-30.6,13,1,0,0,0,6.908755,9.206132
3,1122,9,6125.9,23.5,-16.3,14,1,0,0,0,7.022868,8.720281
4,578,-9,16246,5.9,-25.7,-21,1,0,0,0,6.359574,9.695602
5,1368,7,21783.2,13.8,-3,56,1,0,0,0,7.221105,9.988894
6,1145,5,6021.4,20,1,55,1,0,0,0,7.04316,8.703075
7,1078,10,2266.7,16.4,-5.9,62,1,0,0,0,6.982863,7.72608
8,1094,7,2966.8,16.3,-1.6,44,1,0,0,0,6.997596,7.995239
9,1237,16,4570.2,10.5,-70.2,37,1,0,0,0,7.120444,8.427312
10,833,5,2830,26.3,-23.9,37,1,0,0,0,6.725034,7.948032
11,567,7,596.8,25.9,39.5,109,1,0,0,0,6.340359,6.391582
12,933,-3,19773,26.8,-26.8,-10,1,0,0,0,6.838405,9.892073
13,1339,-9,40047,14.8,12.1,41,1,0,0,0,7.199678,10.59781
14,937,9,2513.8,22.3,9.8,44,1,0,0,0,6.842683,7.829551
15,2011,49,1580.6,56.3,62.2,63,1,0,0,0,7.606388,7.36556
16,1585,4,6754,12.6,9.3,17,1,0,0,0,7.36834,8.81789
17,905,12,1066.3,20.4,33.8,141,1,0,0,0,6.807935,6.97195
18,1058,94,3199.9,1.9,-86.8,-15,1,0,0,0,6.964136,8.070875
19,922,48,1452.7,19.9,97.3,56,1,0,0,0,6.826545,7.281179
20,1220,-7,8995,15.4,19.5,28,1,0,0,0,7.106606,9.104424
21,1022,16,1212.3,38.7,162.9,83,1,0,0,0,6.929517,7.100275
22,759,12,2824.2,16.4,-9.4,21,1,0,0,0,6.632002,7.945981
23,1414,0,7621,24.4,-30.2,-10,1,0,0,0,7.254178,8.938663
24,1041,-11,4418.3,15.6,-7.5,74,1,0,0,0,6.947937,8.39351
25,1688,1,12343,14.4,-16.8,15,1,0,0,0,7.4313,9.420844
26,2983,13,57662,19,9.9,42,1,0,0,0,8.000685,10.96235
27,1160,0,4319.7,16.1,-23.3,-2,1,0,0,0,7.056175,8.370941
28,3844,61,20604,12.1,-5.9,18,1,0,0,0,8.254269,9.933241
29,476,6,611.3,16.2,-15.7,40,1,0,0,0,6.165418,6.415588
30,1492,10,12431.7,18.4,-23.3,58,1,0,0,0,7.307873,9.428005
